Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,peak_width
0.1,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.72,0.0,39.8080824088748
0.1,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.08,0.0,39.8080824088748
0.1,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.31,0.0,39.8080824088748
0.1,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.39,0.0,39.8080824088748
0.1,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.43,0.0,39.8080824088748
0.1,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,80.46,0.0,39.8080824088748
2.08,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,14.46,30.22,39.8080824088748
2.08,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,71.13,0.0,39.8080824088748
2.08,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,75.14,0.0,39.8080824088748
2.08,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,76.62,0.0,39.8080824088748
2.08,8.02,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.38,0.0,39.8080824088748
2.08,10.0,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,77.85,0.0,39.8080824088748
4.06,0.1,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,8.34,54.86,39.8080824088748
4.06,2.08,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,63.82,0.0,39.8080824088748
4.06,4.06,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,70.55,0.0,39.8080824088748
4.06,6.04,0.05,0.8664339756999315,0.01,9.902102579427789,0.0,2.3104906018664844,0.8664339756999315,0.5545177444479562,73.16,0.0,39.8080824088748
