Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,startpeak,endpeak,peak_width,sig_change
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,25.17,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,39.68,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,62.66,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,84.09,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,8.49,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,13.33,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,20.99,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,33.14,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,2.82,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,4.36,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,6.79,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,10.64,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,1.0,inf,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,1.38,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,2.07,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,3.16,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,29.06,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,45.83,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,72.41,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,97.18,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,16.04,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,25.19,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,39.69,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,62.66,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,6.28,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,9.69,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,15.1,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,23.68,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,2.22,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,3.25,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,4.88,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,0.5506,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,7.4844,0.5545177444479562,7.48,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,33.03,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,52.09,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,82.3,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,110.47,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,21.16,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,33.24,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,52.38,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,7.4844,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,82.71,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,9.41,0.0,,,,[0 0 0 0 0 0 0]
2.08,2.08,0.11,2.03,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,2.03,0.5545177444479562,14.55,0.0,10.0,,,[0 0 0 0 0 1 1]
