Kd_t,Kd_c,aR,gR,dR,gT,aL_vals[0],gL,gC,gN,cis_act,cis_inh,peak_width
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,25.17,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,39.68,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,62.66,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,84.09,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,10.88,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,17.1,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,26.96,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,42.6,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,4.97,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,7.75,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,12.16,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,19.16,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,2.13,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,3.25,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,5.04,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,7.87,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,1.0,inf,251.1716323296355
2.08,2.08,0.11,0.5506,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,1.38,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,2.07,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,27.5947,0.5545177444479562,3.16,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,27.33,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,43.09,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,68.08,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,91.37,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,17.38,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,27.34,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,43.12,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,68.12,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,8.96,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,13.98,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,21.94,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,34.57,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,4.08,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,6.25,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,9.68,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,15.13,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,1.86,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,2.72,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,4.08,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,10.3711,0.5545177444479562,6.25,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,31.56,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,49.76,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,78.62,0.0,251.1716323296355
2.08,2.08,0.11,27.5947,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,105.53,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,22.44,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,35.3,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,55.68,0.0,251.1716323296355
2.08,2.08,0.11,10.3711,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,87.97,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,12.84,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,20.05,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,31.49,0.0,251.1716323296355
2.08,2.08,0.11,3.8979,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,49.6,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,6.25,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.08726186604559129,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,9.58,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.05505843697107427,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,14.84,0.0,251.1716323296355
2.08,2.08,0.11,1.465,0.034739692098270165,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,23.2,0.0,251.1716323296355
2.08,2.08,0.11,0.5506,0.13830028144215673,9.902102579427789,0.0,13.830104480981886,3.8979,0.5545177444479562,2.93,0.0,251.1716323296355
